MENSAJES;POLARIDAD
Por favor pongamos en la portada algo que tenga relacion con la asignatura;neutro
Buenas tardes que tal esta imagen Companero alguna sugerencia;positivo
A mi me gusta esperemos haber que dicen sus companeros de equipo;positivo
Buenos dias a todos comparto una posible solucion del problema 5 13 del texto basico;positivo
Rodolfo muy buenos dias Gracias por compartirnos la tarea esperemos a ver que dicen sus colegas de equipo;positivo
companero me parece muy interesante su trabajo;positivo
Aun no logro terminar mi trabajo cuando este listo lo subo companeros;neutro
Que les parece companeros si nos comunicamos en la noche para ir haciendo el grupal de una vez;neutro
Si les parece mejor manana en la tarde o noche todavia falta que Ruben suba su trabajo Hay que fijar una hora que todos podamos conectarnos;neutro
Companeros buenos dias por favor vamos terminando el Pea para poder hacer el grupal se nos termina el tiempo y tenemos que hacer otros trabajos tambien;neutro
Bueno companeros nos podremos comunicar en la noche el 27 digan que si ya que en fechas anteriores a mi se me dificulta no se a ustedes;neutro
El 27 en la noche esta bien no se si los demas puedan;positivo
Bueno entonces pongan fecha por favor;neutro
si el 27 en la noche estaria bien;positivo
esta bien companeros quedemos para el 27;positivo
La fecha ya esta Les parece si lo hacemos de 7 a 8pm;positivo
Companeros se les olvido el chat quedamos el 27 en la noche y no hay nadie conectado Por favor mas seriedad hay que presentar el trabajo el 30 y creo que todos tenemos otras obligaciones entre semana Fijen una nueva fecha y hora;negativo
Hola Si hoy hay disculpen como pense que nos comunicaremos mas tarde jjj;neutro
Buenas noches companeros;positivo
Companeros aqui un resumen de nuestros trabajos Opinen por favor;positivo
Esta una parte de cada una de nuestra opiniones me parece un buen concepto;positivo
Segun entiendo debemos tambien poner la imagen;negativo
A mi forma de ver las imagenes puestas por usted y Maycol representan de mejor manera las herramientas que se utilizan para la utilizar los PLEs;positivo
Considero que su criterio en cuanto a lo que es un PLE esta muy bien esta muy claro y es que todas las personas de una u otra forma tenemos o hacemos uso de un PLE;positivo
Es un concepto bastante completo que agrupa los aportes de cada uno y define facilmente lo que es un PLE Esta bien;positivo
Queda a consideracion de los demas companeros revisar lo que hemos publicado y comentar;neutro
Es esto justo un PLE ya que cada quien nos ajustamos a nuestro tiempo para poder estudiar;positivo
A mi parecer cualquiera de las 2 estarian bien ya que en ambas se muestra la mayoria de herramientas que utilizamos;positivo
companeros esta es una recopilacion con lo que coincidimos todos por favor opinen digan que le quitamos que le agregamos cual cosa que sea de su opinion para poder terminarlo y poder entregarlo gracias;negativo
Companera me parece bien el resumen que hemos logrado esperemos el comentario de los demas companeros para poder pasarlo al companero secretario para que lo suba con el nombre de los integrantes;positivo
Esta bien companera representa los aportes de todos solo una pequena sugerencia en cuanto a la estetica de la imagen creo que se deberia poner un color diferente a cada area del PLE para identificarlas de mejor manera lo demas esta correcto;positivo
Ok ahora me pongo en eso;negativo
Me parece bien la observacion del companero Jeoffre V Lima;positivo
bueno companero secretario haga lo suyo y nos indica el trabajo que va a subir claro esta antes que lo haga nos avisa cualquier inconveniente;positivo
Claro que si el que subire sera el que ha publicado usted;neutro
Companeros el trabajo que subire sera el que publico la companera Ivanova Procel si tienen algo que argumentar espero que lo hagan hasta el medio dia de manana ya que manana en la tarde lo subire;positivo
companero maycol revisara el historial estan unos comentarios;neutro
Bienvenidas companeras envienme sus respuestas porfavor de la actividad recomendada de la guia de la pag 112 de la guia para elborar nuestro tranbajo y cuentenme como les ha parecido trabajar con google drive alguna experiencia;positivo
Mi experiencia con dropbox y google drive ha sido magnifica Me parece que estos programas destronaran a otros que utilizamos con capacidad limitada de megabites para este trabajo he usado mi correo oskrblues hotmail com Espero que ustedes tambien lo hayan utilizado y sino es asi les recomiendo que lo empiecen hacer ya que son programas muy completos y las ventajas que he visto a traves del tiempo que he utilizado dichos programas es que no debemos preocuparnos por guardar nada ya que se guardan en la nube automaticamente y eso si que es una ventaja ya que si se va la luz se acaba la bateria del dispositivo o cualquier otra calamidad estos programas guardan todo por nosotros Sin mas me despido esperando contactarme con ustedes y que tambien me cuenten un poco su experiencia con dichos programas saludos cordiales;positivo
Hola muy buenos dias Tengo una inquietud que significa la foto de la portada;positivo
Buena noche profe Es un incentivo para el grupo significa que todo lo que tengamos en mente se lo puede realizar Saludos;positivo
Muy buenos dias que bueno por ayudarnos a tener presente esta verdad;positivo
Asi es estimada saludos;positivo
Gracias Marlene por su participacion asi queda la portada de nuestro grupo saludos;positivo
No hay de que;neutro
Una preguntita Lilian tenemos que compartir algun documento por google drive Como lo hicimos en el primer bimestre;neutro
Seria oportuno cualquier cosa que tengamos que compartir seria bueno realizarlo por Google drive en vista que ya lo conocemos;positivo
Ah Que bien quedo la portada;positivo
Muy bien en hora buena;positivo
Cordial saludo companera Mary con respecto a la pregunta me permito comunicarle que la actividad que nos plantea realizar es distinta a la que hicimos en el primer bimestre Se trata de contar con nuestros archivos en la nube es decir a traves del servicio que presta Dropbox o Google Drive Yo utilice Google Drive Revise las instrucciones debe instalar en su computadora Dropbox o Google Drive y subir archivos Para hacer el documento final por fa trate de capturar las pantallas de todos los pasos que realice Que tenga un buen dia;positivo
Disculpe companera los paso a seguir donde los encuentro;positivo
La Actividad Recomendada se encuentra en el texto guia pag 112 alli puede encontrar los pasos a seguir;positivo
Buenos dias companeras les comunico que he compartido con google drive el trabajo colaborativo del II Bimestre Saludos cordiales Marlene B;positivo
Marlene muy buenos dias Gracias por compartirnos su trabajo nos podria dar acceso mil gracias;positivo
Muy buenos dias para poder acceder se deve dar clic sobre Abrir Docs que se encuentra como link en el correo electronico que les he compartido;positivo
Saludos cordiales Marlene Buenano;positivo
Una vez que he instalado Google Drive en mi computador he podido acceder desde cualquier lugar a mis archivos solo tengo que contar con internet esto me parece increible ya que no requiero de un dispositivo transportable;positivo
Buenos dias companer s por favor se requiere que participen en este espacio indicando el proceso para instalar Google Drive lo cual nos permitira elaborar el informe final;positivo
Lilian muy buenos dias como usted indica el trabajo debe ser desarrollado entre todos;positivo
Muy buenos dias estimada Tutora Cabe recalcar que en el trabajo colaborativo del II Bimestre ha colaborado participado activamente la companera Lilian se espera la participacion de los dos otras integrantes del grupo para editar el documento Gracias;positivo
Buenas noches tutora yo tambien continuanamente e estado participando y estoy realizando el trabajo final;positivo
No cabe duda que stan trabajando como verdadero equipo;positivo
Hola Mary muy bien;positivo
