MENSAJES;POLARIDAD
favor pon port relacion asignatur;neutro
buen tard imag companer algun sugerent;positivo
gust esper hab dec companer equip;positivo
buen dias compart posibl solucion problem 513 text basic;positivo
rodolf buen dias graci compartirn tare esper ver dec coleg equip;positivo
companer parec interes trabaj;positivo
aun logr termin trabaj list sub companer;positivo
parec companer si comunic noch ir hac grupal vez;positivo
si parec mejor manan tard noch todavi falt rub sub trabaj fij hor pod conectarn;neutro
companer buen dias favor ir termin pea pod hac grupal termin tiemp hac trabaj tambi;positivo
buen companer pod comunic noch 27 dec si fech anterior dificult usted;neutro
27 noch bien si dem pod;neutro
buen entonc pong fech favor;neutro
si 27 noch estari bien;neutro
bien companer qued 27;neutro
fech parec si hac 7 8 pm;neutro
companer olvid chat qued 27 noch nadi conectadopor favor mas seried present trabaj 30 cre oblig seman fij nuev fech hor;negativo
hol si hoy disculp pens comunicar mas tard jjj;neutro
buen noch companer;positivo
companer aqui resum trabaj opin favor;positivo
part cad opinion parec buen concept;positivo
segun entend deb tambi pon imag;neutro
form ver imag puest usted maycol represent mejor maner herramient utiliz utiliz pl;positivo
consider criteri cuant plir bien clar tod person u form hac uso plir;positivo
concept bastant complet agrup aport cad defin facil plir bien;positivo
qued consideracion dem companer revis public coment;positivo
just plir cad ajust tiemp pod estudi;positivo
parec cualqu 2 estari bien ambos mostr mayori herramient utilizam;positivo
companer recopilacion coincid favor opin dec quit agreg cos opinion pod termin el pod entreg el graci;positivo
companer parec bien resum logr esper comentari dem companer pod pas el companer secretari sub nombr integr;positivo
bien companer represent aport sol pequen sugerent cuant estet imag cre deberi pon color diferent cad are plir identific mejor maner dem correct;positivo
ok ahor pon;positivo
parec bien observacion companer jeoffr v lim;positivo
buen companer secretari hac indic trabaj va sub clar hac avis cualqui inconvenient;positivo
clar si subir ser public usted;positivo
companer trabaj subir ser public companer ivanov procel si argument esper hac medi dia manan manan tard subir;positivo
companer maycol revis historial estar comentari;positivo
bienven companer envienm respuest porfavor activ recomend gui pag 112 gui elbor tranbaj cuentenm parec trabaj googl driv algun experient;neutro
experient dropbox googl driv ser magnif parec program destronar utilizam capac limit megabit trabaj usad corre oskrblueshotmailcom esper usted tambi utiliz sin asi recom empiec hac program complet ventaj vist trav tiemp utiliz dich program deb preocuparn guard guard nub automat si ventaj si va luz acab bateri disposit cualqui calam program guard mas desp esper contact usted tambi cont experient dich program salud cordial;positivo
hol buen dias inquietud signific fot port;neutro
buen noch prof incent grup signific ment pued realiz salud;positivo
buen dias buen ayudarn ten present verd;positivo
asi estim salud;positivo
graci marlen participacion asi qued port grup salud;positivo
preguntit lili compart algun document googl driv hac primer bimestr;neutro
seri oportun cualqui cos compart seri buen realiz el googl driv vist conoc;positivo
ah bien qued port;positivo
bien hor buen;positivo
cordial salud companer mary respect pregunt permit comunic el activ plant realiz distint hac primer bimestr trat cont archiv nub dec trav servici prest dropbox googl driv utiliz googl driv revis instruccion deb instal comput dropbox googl driv sub archiv hac document final fa trat captur pantall pas realiz buen dia;positivo
disculp companer pas segu encuentr;positivo
activ recomend encontr text gui pag 112 alli pued encontr pas segu;positivo
buen dias companer comun compart googl driv trabaj colabor ii bimestr salud cordial marlen b;positivo
marlen buen dias graci compartirn trabaj podri dar acces mil graci;positivo
buen dias pod acced dev dar clic abrir docs encontr link corre electron compart;positivo
salud cordial marlen buenan;positivo
vez instal googl driv comput pod acced cualqui lug archiv sol cont internet parec increibl requier disposit transport;positivo
buen dias companers favor requer particip espaci indic proces instal googl driv permitir elabor inform final;positivo
lili buen dias usted indic trabaj deb ser desarroll;positivo
buen dias estim tutor cab recalc trabaj colabor ii bimestr colabor particip activ companer lili esper participacion dos integr grup edit document graci;positivo
buen noch tutor tambi continuan particip realiz trabaj final;positivo
cab dud star trabaj verdader equip;positivo
hol mary bien;positivo
instal googl driv cre carpet especific llam googl driv carpet sincroniz form bidireccional googl driv web mov archiv carpet acces cualqui lug realiz cambi dich archiv compart archiv archiv almacen equip local tambi nub cambi reflej equip local onlin;positivo
bien lili;positivo
googl driv tambi permit cre document onlin compart el grup person pod edit el 1 buscador tip 2 siti web ir dar clic descarg lueg descarg pc 3 vez descarg ejecut el segu pas instalacion 4 vez instal agreg cuent googl 5 part inferior derech qued log googl driv 6 carpet pued almacen document fot vide manipul descarg siti web telefon celul;positivo
graci infinit contribucion;positivo
buen tattys coment gmail compart trabaj colabor usted tambi pued dar aportegraci;positivo
salud companer usted conoc acuerd cronogram trabaj grupal deb realiz trabaj final sugier tatian calid secretari grup encarg recopil participacion elabor inform final;positivo
buen tard noch revis tod informacion envi si;positivo
companer favor enviem informacion pod realiz inform final graci;positivo
bien tatty asi promov interaccion;positivo
grupo1 design tutor rol secretari design companer areval tatian pod confirm informaciongraci;neutro
asi digam bien dia;neutro
hol tatian comun document pued revis inform final envi tutor calid secretari compart document googl driv corre electron gmail;positivo
salud cordil;neutro
favor revis corre electron gmail ahi compart;positivo
tambi pued ver aqui facebook pus hac minut buen dia;positivo
favor seri tan amabl avis realiz inform final tutor graci;positivo
buen dias si noch revis realiz inform reenvi graci;positivo
hol companer tatian averigu el si recopil tod informacion favor reenvi pod aport sugerent recuerd tare deb envi manan;positivo
buen tard noch reenvi companer;positivo
companer ayer reenvi document adjunt confirm si lleg;positivo
hol companer disculp corre envi ningun document corre lilianaldazgmailcom lilianaldazyaho;positivo
entonc document comparti mary ahi inclu particip;positivo
exact ahi edit;neutro
hol tatian comun revis corre mb37hotmailit marlenebuenano66gmailcom recib ningun inform final;negativo
record inform final deb ser elabor aport trabaj tres particip document individual graci;negativo
si favor companer tatian pued agreg aport document trabaj lili person mism compart 15 juli canal googl driv facebbok graci;negativo
buen dias ayer envi document final profesor graci;positivo
hol tatian seri tan amabl envi yo tambi document final graci hoy lleg;positivo
favor tatian podri dec nombr subi archiv googl driv graci;positivo
hol mary esper revis inform final envi document compart gmail lind tard;positivo
hol lili si graci amabl part hab compart inform final;positivo
exit exam presencial;positivo
estim companer recib cordial salud quer externarl buen dese exam presencial ir mejor;positivo
graci companer igual;positivo
graci quer mary igual maner esper vay sup bien exam presencial much bendicion exit;positivo
buen noch companer primer deb hac realiz maner individual practic 9 document practic proces palabr vez realiz avis proced realizacion part grupal esper pront respuest 5 noviembr hac entreg mism salud keil japon;positivo
grup encontr integr nardy yadir tapi car gabriel carolin lap orellan noemy quez keil japon tutor duni in jar roa;neutro
primer deb realiz maner personal practic 9 document practic proces palabr dia manan hac cualqui dud comunic salud;positivo
list termin jjj;positivo
q buen sra noemy quez esper rest companer pod continu;positivo
ok graci ayud si aun pas primer jjj;positivo
preocup;positivo
buen noch companer empec realiz practic 9;positivo
ok companer gaby carit lap termin comenz realizacion part grupal;positivo
bien companer keil aunq deb esper dem q integr;positivo
si companer falt sol person ojal respond dias;positivo
buen tard companer cre q tiemp hac partr grupal coordinem dia hor esper comentari;positivo
companer podri ser dia hlde hoy 8 noch dia sab manan tip 10;positivo
cre q hoy noch pod reunirn tip 8 noch;positivo
bien deb hac;positivo
q escrib proced hac encabez pie pagin;positivo
adem q design secretari;positivo
manan manan si porf companer;positivo
revis pas puest clar deb insert pie pagin;positivo
si companer deacuerd;positivo
tambi acuerd companer;positivo
qued lind companer;positivo
graci sub;positivo
sol sub sol hac grup mas;positivo
si sol q stoy public mas;positivo
companer profesor buen noch si favor empec lid va dirij activ realizarc;positivo
graci invitacion unir yo grup parec si hac port relacion nombr asignatur;positivo
si parec excelent ide estim tutor favor companer dem opcion;positivo
buen ide podri ser fot comput;positivo
si buen ide;positivo
companer gust compart usted activ salud cordial;positivo
buen noch companer;positivo
companer;neutro
ester mil graci compart trabaj qued pendient trabaj grupal cordial salud duni in;positivo
recuerd pendient trabaj grupal;positivo
jhonnat mil graci compart trabaj qued pendient trabaj grupal cordial salud duni in;positivo
janel mil graci compart trabaj qued pendient trabaj grupal cordial salud duni in;positivo
bien ahor si ir resolv ejercici propuest;positivo
parec perfect port pon jorg luis quez jimenez si agreg log utpl vez dec;positivo
aca toc cambi orden cas verd marfil pod continu;positivo
companer just referi enunci deb mal cas verd pued derech cas marfil sin izquierd deb ser error traduccion puzzl original;positivo
dec q pued lleg moment pod continu ahi termin incomplet puzzl;positivo
buen acotacion rat revis bien ver pued hac;positivo
q revis puest lueg siguient imag cambi orden ambos cas ahi pod continu;positivo
pod hab vari interpret enunci dec derech cuadr estari correct derech 5 cas derech marfil clar enunci si interpret parec;positivo
bien william;positivo
claudi moral colabor album 11 diciembr 2018;neutro
resolucion ejercici plant cualqui inquietud abrir debat mio companer;positivo
gust form solucion ejercici empez llen restriccion cuadr despu hac deduccion parec form mas sencill hac;positivo
carl medin colabor album resolucion ejercici carl medin;positivo
buen resolucion aun entend cambi cas verd marfil lug orden expon ejercici si lleg solucion;positivo
buen sol cuestion interpretacion igual lleg respuest;positivo
buen dias;positivo
patrici buen dias representacion graf respuest pregunt puzzl;positivo
buen dias respuest obten ejercici 513 agu beb cas color amarill zebr viv cas color verd;positivo
solucion mas noved vist companer excelent aplic graf arbol busqued aprend materi;positivo
parec perfect utiliz graf hech deberi ser asi desarroll;positivo
bien trabaj grupal esper pod conclu maner satisfactori activ colabor;positivo
buen tard dia manan realiz segund part deb ia 2100 estar acuerd suger horari;positivo
graci patrici gentilez convoc reunion esper respond pod llev conversacion grup facebook;positivo
hol companer x favor tempran manan tard bien;positivo
propon horari ver si estar acuerd;positivo
parec 1700;positivo
hor si parec bien esper rest companer;positivo
confirm transcurs dia si horari bien favor notific avis grup whatssap pod conect yo chat problem celul;positivo
buen noch necesit defin horari realiz segund part trabaj colabor inteligent artificial propon 1700 sab necesit confirmacion;positivo
companer tutor segun leid indic tare seman activ sub resolucion ejercici personal hac dia lun 10 cad imag estar pas lleg solucion estim tutor sub archiv word excel cualqui tip document hac imag salud;negativo
carl buen tard respect inquietud coment solucion tare conjunt pued ser archiv word;positivo
duni in jar roa ok graci estim;positivo
